1	dbobo	1abubu	d477c9935@4039e84ce.ru	+65941523421
2	0bobo	8abubu	d62c9f132@0f7c0c118.ru	+62777070008
3	6bobo	6abubu	91b693df4@b59e211db.ru	+74550277545
4	6bobo	7abubu	2ef6294e7@ae81e8838.ru	+105585832959
5	abobo	9abubu	4a97b47bc@a4513f0a5.ru	+42901222068
6	2bobo	eabubu	e3b9025a4@8a7ee1a1e.ru	+50709961670
7	abobo	3abubu	519903634@d2d2d369b.ru	+34630080977
8	6bobo	aabubu	567ec9db8@fc062a265.ru	+63302575865
9	cbobo	cabubu	b31a92520@032904925.ru	+44238704060
10	9bobo	aabubu	1c94deb96@1eee9023f.ru	+58257033178
11	cbobo	cabubu	2ec5f3717@41ee6aa2a.ru	+38473461904
12	dbobo	4abubu	21f1ad2eb@f655e4f0a.ru	+29958473708
13	0bobo	7abubu	2a30bed73@a1be4cc7d.ru	+41273564728
14	1bobo	5abubu	469da9e22@7eb96d1b8.ru	+43854853416
15	2bobo	aabubu	70263938d@732554c62.ru	+100723759303
16	9bobo	7abubu	9a5d42e4c@d8ba5c73f.ru	+42014777028
17	bbobo	eabubu	7b6f5a672@9776d75fd.ru	+75222823192
18	7bobo	eabubu	3893782d0@2bc0f0576.ru	+67300911355
19	6bobo	1abubu	29dd56463@bc79985c5.ru	+99765392629
20	dbobo	2abubu	995b6e55d@2242c7689.ru	+48595897339
